invoice_number,invoice_date,order_date,order_type,order_quantity,shipped_quantity,sales_amount,unit_price,customer_id,customer_location,customer_department,customer_province,item_id,item_description,item_department,item_section,item_group,warehouse_number,warehouse_name,warehouse_region_name,vendor_number,vendor_name,supplier_id,supplier_name
3263879,2020-07-17,2020-07-15,REGULAR,1,0,0.0,0.0,452,1,62,TEXAS,225953,METHD FOAM HND WSH MINERL          ,30,72,750,904,TEXAS FOOD WAREHOUSE,TEXAS,0,?,98832975,BRANDS GLOBAL CO.
5154716,2019-06-20,2019-06-19,REGULAR,1,0,0.0,0.0,2002,1,32,FLORIDA,617530,TAMPAX PEARL MULTI UNSCEN 2X       ,30,75,336,903,OHIO FOOD WAREHOUSE,OHIO,0,?,98832975,BRANDS GLOBAL CO.
3441997,2017-11-08,2017-11-07,REGULAR,1,0,0.0,0.0,2972,21,62,TEXAS,805895,GILLETTE FOAMY REGULAR             ,30,78,531,904,TEXAS FOOD WAREHOUSE,TEXAS,0,?,98832975,BRANDS GLOBAL CO.
3785073,2019-04-21,2019-04-20,REGULAR,1,0,0.0,0.0,1974,1,9,CALIFORNIA,428987,REVLON MENS    GROOMING   KIT      ,30,82,940,904,TEXAS FOOD WAREHOUSE,TEXAS,0,?,98832975,BRANDS GLOBAL CO.
3902671,2019-10-21,2019-10-18,REGULAR,2,0,0.0,0.0,2020,4,66,TEXAS,865642,RESERS MSB STEAKHSE MSHD           ,30,57,927,904,TEXAS FOOD WAREHOUSE,TEXAS,0,?,98832975,BRANDS GLOBAL CO.
1645789,2018-11-12,2018-11-09,REGULAR,1,0,0.0,0.0,2806,1,66,CALIFORNIA,439745,MA SMKD PROSCUITTO SPECK           ,30,57,820,905,MISSOURI FOOD WAREHOUSE,MISSOURI,0,?,98832975,BRANDS GLOBAL CO.
3201878,2020-04-25,2020-04-24,REGULAR,1,0,0.0,0.0,2438,15,32,TEXAS,923284,BAND-AID DISNY FROZEN              ,30,76,28,904,TEXAS FOOD WAREHOUSE,TEXAS,0,?,98832975,BRANDS GLOBAL CO.
1841093,2020-01-27,2020-01-24,REGULAR,1,0,0.0,0.0,2914,1,62,CALIFORNIA,979740,AVEENO STRSS   RLEF MOIST LOTION   ,30,72,481,905,MISSOURI FOOD WAREHOUSE,MISSOURI,0,?,98832975,BRANDS GLOBAL CO.
5315402,2020-02-24,2020-02-21,REGULAR,6,0,0.0,0.0,168,1,32,ARIZONA,675751,TYLENOL MUSCLE & BODY-R            ,30,69,81,903,OHIO FOOD WAREHOUSE,OHIO,0,?,98832975,BRANDS GLOBAL CO.
3861764,2019-08-20,2019-08-19,REGULAR,1,0,0.0,0.0,2674,21,66,CALIFORNIA,232355,INGLE.CREAM HORSERADISH            ,30,57,967,904,TEXAS FOOD WAREHOUSE,TEXAS,0,?,98832975,BRANDS GLOBAL CO.
